"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3493",453286,"Max Scherzer",2018,"3493","100.0","0.188","0.144","0.267","0.332","0.252","0.253","0.189","150","797","86.5","20.6","2302","89.4","88.76","604","1817","1652","-0.6","5.94","112","152","113","149","294","311","298"
"3427",434378,"Justin Verlander",2018,"3427","100.0","0.200","0.160","0.274","0.360","0.260","0.243","0.187","156","781","88.5","22.0","2662","90.7","89.50","555","1745","1665","-1.2","5.79","110","153","116","152","288","315","291"
"3310",572971,"Dallas Keuchel",2018,"3310","100.0","0.263","0.130","0.302","0.393","0.306","0.299","0.251","211","802","87.3","4.6","2038","85.6","85.26","295","1493","1808","-0.3","6.01","106","151","114","149","288","313","284"
"3306",448306,"James Shields",2018,"3306","100.0","0.245","0.190","0.263","0.435","0.326","0.353","0.264","190","775","88.6","16.7","2217","84.7","85.46","364","1491","1792","0.8","6.63","109","151","110","147","293","313","292"
"3265",605182,"Mike Clevinger",2018,"3265","100.0","0.223","0.142","0.280","0.365","0.288","0.289","0.219","164","737","87.0","14.6","2193","87.6","88.09","421","1509","1744","0.5","6.51","108","153","112","149","285","313","294"
"3257",543037,"Gerrit Cole",2018,"3257","100.0","0.198","0.134","0.288","0.332","0.265","0.275","0.200","143","723","89.1","15.9","2470","91.9","91.31","498","1608","1633","-0.6","6.05","109","152","117","151","287","316","292"
"3250",607536,"Kyle Freeland",2018,"3250","100.0","0.240","0.118","0.288","0.358","0.292","0.307","0.244","182","757","86.8","12.1","2116","88.5","89.02","320","1467","1754","0.5","6.35","110","151","113","144","300","321","301"
"3243",502043,"Kyle Gibson",2018,"3243","100.0","0.241","0.143","0.286","0.385","0.306","0.324","0.253","177","733","87.8","8.0","2182","89.3","90.07","391","1452","1774","0.8","6.67","108","149","116","146","295","322","295"
"3212",605400,"Aaron Nola",2018,"3212","100.0","0.197","0.114","0.254","0.311","0.251","0.266","0.208","149","756","87.1","9.0","2115","86.4","86.77","420","1511","1677","0.4","6.52","107","155","113","148","294","323","292"
"3212",594798,"Jacob deGrom",2018,"3212","100.0","0.196","0.081","0.283","0.277","0.230","0.249","0.203","152","776","86.3","11.1","2292","92.6","93.75","524","1661","1521","1.1","6.84","112","151","108","149","293","316","298"
"3212",425844,"Zack Greinke",2018,"3212","100.0","0.231","0.159","0.273","0.390","0.286","0.310","0.249","181","784","87.9","10.4","2257","85.3","84.53","378","1452","1750","-0.8","5.74","111","152","112","151","302","329","302"
"3181",446372,"Corey Kluber",2018,"3181","100.0","0.224","0.144","0.277","0.368","0.270","0.285","0.233","179","800","88.0","11.3","2419","88.7","88.28","412","1528","1643","-0.4","5.94","109","152","112","149","284","312","295"
"3152",622663,"Luis Severino",2018,"3152","100.0","0.238","0.140","0.315","0.379","0.290","0.302","0.241","173","726","88.4","11.6","2428","92.9","92.43","419","1563","1581","-0.5","6.06","108","155","113","148","294","323","292"
"3142",571578,"Patrick Corbin",2018,"3142","100.0","0.218","0.119","0.304","0.337","0.265","0.289","0.236","162","742","88.3","7.7","2279","85.2","84.79","513","1478","1642","-0.4","6.05","107","151","111","149","300","327","300"
